,Case_insensitive,Case_sensitive
1027,Sioux Falls,
1028,Mesa,
1029,Spokane,
1030,Springfield,
1031,Springfield,
1032,Springfield,
1033,Springfield,
1034,Berrien,
1035,Ouachita Parish,
1036,Macon-Bibb,
1037,Bibb,
1038,Macon-Bibb,
1039,Wheelingship,
1040,Kansas,
1041,Kansas,
1042,Kings,
1043,Northship,
1044,Stafford,
1045,Sunnyvale,
1046,Sunnyvale,
1047,Penobscot,
1048,Pomona,
1049,Pomona,
1050,Killeen,
1051,Killeen,
1052,Centership,
1053,Escondido,
1054,Escondido,
1055,Merrimack,
1056,Butler,
1057,Frederick,
1058,Pasadena,
1059,Pasadena,
1060,Johnson,
1061,Washington,
1062,Tolland,
1063,Monroe,
1064,Monroe,
1065,Santa Fe,
1066,Paulding,
1067,Charles,
1068,Citrus,
1069,Cumberland,
1070,Scott,
1071,Coweta,
1072,Orange,
1073,Naperville,
1074,Monroe,
1075,Canadian,
1076,Worthship,
1077,Bellevue,
1078,Bellevue,
1079,Indianapolis (balance),
1080,Joliet,
1081,Downers Groveship,
1082,Alameda,
1083,Buncombe,
1084,Bergen,
1085,Provisoship,
1086,Murfreesboro,
1087,Murfreesboro,
1088,Thurston,
1089,Sandoval,
1090,Auroraship,
1091,Douglas,
1092,Salem,
1093,Midland,
1094,Midland,
1095,Wayneship,
1096,Rockford,
1097,Rockford,
1098,Paterson,
1099,Paterson,
1100,Paterson,
1101,Paterson,
1102,York,
1103,Johnston,
1104,Wilson,
1105,Savannah,
1106,Savannah,
1107,Bridgeport,
1108,Bridgeport,
1109,Bridgeport,
1110,Bridgeport,
1111,Litchfield,
1112,Randolph,
1113,Jackson,
1114,Torrance,
1115,Torrance,
1116,Coconino,
1117,McAllen,
1118,McAllen,
1119,Parker,
1120,Brunswick,
1121,Syracuse,
1122,Syracuse,
1123,Syracuse,
1124,Syracuse,
1125,Rowan,
1126,Santa Barbara,
1127,Rock Island,
1128,Lebanon,
1129,Surprise,
1130,Surprise,
1131,Denton,
1132,Denton,
1133,Roseville,
1134,Roseville,
1135,Thornton,
1136,Thornton,
1137,Schuylkill,
1138,Miramar,
1139,Miramar,
1140,Erie,
1141,Pasadena,
1142,Pasadena,
1143,Mesquite,
1144,Washingtonship,
1145,Mesquite,
1146,Livingston Parish,
1147,Hall,
1148,Olathe,
1149,Olathe,
1150,Olathe,
1151,Olathe,
1152,Sussex,
1153,Dayton,
1154,Dayton,
1155,Dayton,
1156,Dayton,
1157,Washington,
1158,Sonoma,
1159,Ulster,
1160,Tulare,
1161,Carrollton,
1162,Waco,
1163,Waco,
1164,Citrus,
1165,Orange,
1166,Orange,
1167,Fullerton,
1168,Fullerton,
1169,Wright,
1170,Florence,
1171,Columbia,
1172,Taylor,
1173,Luzerne,
1174,Napa,
1175,Randall,
1176,Indianapolis (balance),
1177,Charleston,
1178,Orange,
1179,Ramapo,
1180,Rockford,
1181,Joliet,
1182,Williamson,
1183,Spotsylvania,
1184,Grayson,
1185,Kaufman,
1186,Washington,
1187,Harnett,
1188,Marathon,
1189,Humboldt,
1190,West Valley,
1191,West Valley,
1192,Tangipahoa Parish,
1193,Visalia,
1194,Visalia,
1195,Hampton,
1196,Hampton,
1197,Hampton,
1198,Maineship,
1199,Calhoun,
1200,Clark,
1201,Martin,
1202,Gainesville,
1203,Gainesville,
1204,Warren,
1205,Warren,
1206,Warren,
1207,Warren,
1208,Coral Springs,
1209,Coral Springs,
1210,Boone,
1211,Cedar Rapids,
1212,Cedar Rapids,
1213,Grand Prairie,
1214,Round Rock,
1215,Blount,
1216,Santa Cruz,
1217,Warren,
1218,Indianapolis (balance),
1219,Sterling Heights,
1220,Sterling Heights,
1221,Sterling Heights,
1222,Sterling Heights,
1223,Sumter,
1224,Kent,
1225,Kent,
1226,Wichita,
1227,Tazewell,
1228,Columbia,
1229,Round Rock,
1230,Black Hawk,
1231,Columbia,
1232,Wood,
1233,Strafford,
1234,Robeson,
1235,Aurora,
1236,Santa Clara,
1237,Santa Clara,
1238,Warren,
1239,New Haven,
1240,New Haven,
1241,New Haven,
1242,New Haven,
1243,Cambria,
1244,Linn,
1245,Rapides Parish,
1246,Stamford,
1247,Stamford,
1248,Stamford,
1249,Stamford,
1250,Madison,
1251,Washington,
1252,Concord,
1253,Concord,
1254,Fayette,
1255,Elizabeth,
1256,Elizabeth,
1257,Elizabeth,
1258,Elizabeth,
1259,Skagit,
1260,Kendall,
1261,Schaumburgship,
1262,Saginaw,
1263,Berkeley,
1264,Clarke,
1265,Athens-Clarke unified government,
